,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
9505,2011-03-06,2011-03-12,NORDESTE,CEARA,ETANOL HIDRATADO,209,R$/l,2.074,0.076,1.929,2.27,0.23,0.037,1.844,0.036,1.679,1.8926,0.02
9506,2011-03-06,2011-03-12,NORDESTE,MARANHAO,ETANOL HIDRATADO,121,R$/l,2.085,0.096,1.79,2.39,0.192,0.046,1.893,0.111,1.6283,2.0568,0.059
9507,2011-03-06,2011-03-12,NORDESTE,PARAIBA,ETANOL HIDRATADO,120,R$/l,1.93,0.06,1.77,2.05,0.186,0.031,1.744,0.042,1.6587,1.8282,0.024
9508,2011-03-06,2011-03-12,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,336,R$/l,1.917,0.121,1.65,2.299,0.157,0.063,1.76,0.054,1.6509,1.9102,0.031
9509,2011-03-06,2011-03-12,NORDESTE,PIAUI,ETANOL HIDRATADO,81,R$/l,2.125,0.08,1.88,2.28,0.165,0.038,1.96,0.086,1.7272,2.0073,0.044
9510,2011-03-06,2011-03-12,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,115,R$/l,2.21,0.115,1.94,2.299,0.412,0.052,1.798,0.123,1.4881,2.0341,0.068
9511,2011-03-06,2011-03-12,NORDESTE,SERGIPE,ETANOL HIDRATADO,54,R$/l,1.984,0.073,1.839,2.169,0.21,0.037,1.774,0.075,1.665,1.9443,0.042
9512,2011-03-06,2011-03-12,NORTE,ACRE,ETANOL HIDRATADO,41,R$/l,2.382,0.144,2.3,2.79,0.353,0.06,2.029,0.14,1.6533,2.1187,0.069
9513,2011-03-06,2011-03-12,NORTE,AMAPA,ETANOL HIDRATADO,18,R$/l,2.24,0.034,2.16,2.35,0.34,0.015,1.9,0.004,1.8948,1.9039,0.002
9514,2011-03-06,2011-03-12,NORTE,AMAZONAS,ETANOL HIDRATADO,72,R$/l,2.176,0.076,2.08,2.42,0.171,0.035,2.005,0.048,1.89,2.1349,0.024
9515,2011-03-06,2011-03-12,NORTE,PARA,ETANOL HIDRATADO,101,R$/l,2.214,0.134,1.959,2.609,0.201,0.061,2.013,0.061,1.9321,2.1312,0.03
9516,2011-03-06,2011-03-12,NORTE,RONDONIA,ETANOL HIDRATADO,102,R$/l,2.227,0.051,2.05,2.26,0.405,0.023,1.822,0.058,1.6996,1.8904,0.032
9517,2011-03-06,2011-03-12,NORTE,RORAIMA,ETANOL HIDRATADO,18,R$/l,2.346,0.031,2.25,2.4,0.168,0.013,2.178,0.05,2.0927,2.2486,0.023
9518,2011-03-06,2011-03-12,NORTE,TOCANTINS,ETANOL HIDRATADO,59,R$/l,2.071,0.045,1.99,2.15,0.379,0.022,1.692,0.057,1.589,1.7384,0.034
9519,2011-03-06,2011-03-12,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,191,R$/l,2.216,0.113,1.82,2.39,0.264,0.051,1.952,0.055,1.7198,2.0394,0.028
9520,2011-03-06,2011-03-12,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,982,R$/l,2.0380000000000003,0.084,1.759,2.26,0.223,0.0409999999999999,1.815,0.076,1.5039,2.0651,0.042
9521,2011-03-06,2011-03-12,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,731,R$/l,2.097,0.146,1.62,2.629,0.237,0.07,1.86,0.142,1.41,2.1428,0.076
9522,2011-03-06,2011-03-12,SUDESTE,SAO PAULO,ETANOL HIDRATADO,2385,R$/l,1.893,0.099,1.499,2.199,0.25,0.052,1.643,0.092,0.82,1.8787,0.056
